HOME/AWAY,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,PTS,GAME_SCORE,+/-
0,8,18,0.444,4,12,0.33299999999999996,4,5,0.8,6,9,24,19.7,11
1,11,23,0.478,5,12,0.41700000000000004,3,4,0.75,5,3,30,20.8,5
0,5,19,0.263,2,12,0.16699999999999998,2,2,1.0,1,4,14,5.0,15
0,7,21,0.33299999999999996,3,9,0.33299999999999996,2,2,1.0,4,3,19,6.6,-15
1,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,-1.4,5
0,9,16,0.563,6,11,0.545,2,2,1.0,4,2,26,18.4,27
1,8,19,0.42100000000000004,3,9,0.33299999999999996,3,4,0.75,3,5,22,13.5,14
1,7,13,0.5379999999999999,4,9,0.444,1,1,1.0,4,4,19,14.7,18
1,8,13,0.615,4,9,0.444,2,2,1.0,2,4,22,19.2,19
1,11,17,0.647,8,13,0.615,1,2,0.5,1,1,31,24.4,39
0,7,15,0.467,2,4,0.5,2,3,0.667,3,1,18,8.5,-6
1,5,14,0.35700000000000004,4,11,0.364,1,1,1.0,0,0,15,5.6,-3
